feature,coefficient,abs_coefficient,odds_ratio
num__num_uppercase_chars,-0.9013909150271752,0.9013909150271752,0.4060045489928953
cat__speaker_B,-0.8834888562189216,0.8834888562189216,0.41333831520068304
cat__speaker_C,0.7721465186087281,0.7721465186087281,2.164407211408167
cat__speaker_A,0.31708405376836446,0.31708405376836446,1.3731179828158955
num__message_length_chars,0.3141417119668142,0.3141417119668142,1.3690837383501573
num__has_question,0.21206853988854693,0.21206853988854693,1.2362326134203767
cat__speaker_F,-0.1907508733122676,0.1907508733122676,0.8263384254652273
cat__speaker_D,-0.1064899565314566,0.1064899565314566,0.8989840770341895
cat__speaker_G,-0.037722539247571504,0.037722539247571504,0.9629800930085517
num__num_first_person_pronouns,0.03431721264526117,0.03431721264526117,1.0349128421054183
num__num_hedges,-0.033317796808289044,0.033317796808289044,0.9672311277759099
cat__speaker_E,0.01893598525167174,0.01893598525167174,1.0191164080488726
num__num_politeness,-0.01889956162797806,0.01889956162797806,0.9812779152497801
num__message_length_words,-0.00925659472317521,0.00925659472317521,0.990786115663918
num__has_exclamation,0.0,0.0,1.0
num__num_digits,0.0,0.0,1.0
